transaction_id,account_id,customer_name,address,account_type,timestamp,amount,channel,merchant,device_id,ip_country,ip_city,customer_tenure_days,prior_avg_txn_amount,risk_score,flagged,signals,recommended_action,confidence,reasoning,injected_fraud_pattern
TXN000042,ACC000092,Pooja Verma,"Salt Lake, Ahmedabad - 213475",Savings,2026-07-29T18:39:22.523786,1680.27,UPI,Amazon India,DEV-262246,IN,Ahmedabad,575,1280.74,0,False,,,,,
TXN000043,ACC002028,Shalini Reddy,"Salt Lake, Bengaluru - 544558",Savings,2026-06-30T22:51:26.691574,24317.36,NEFT,Housing Society Maintenance,DEV-172149,IN,Bengaluru,1483,37619.07,0,False,,,,,
TXN000044,ACC001082,Deepak Iyer,"Vasant Kunj, Ahmedabad - 270814",Savings,2026-06-01T08:53:51.292579,45585.13,Card,HDFC Credit Card Payment,DEV-736005,IN,Ahmedabad,2184,32936.71,0,False,,,,,
TXN000045,ACC000131,Manoj Verma,"Alwarpet, Delhi - 588461",Savings,2026-06-05T14:39:31.579724,5152.44,UPI,Rent Payment - Landlord,DEV-773540,IN,Delhi,2325,12703.41,0,False,,,,,
TXN000046,ACC001799,Ritu Chatterjee,"HSR Layout, Bengaluru - 234512",Savings,2026-05-24T10:39:36.156144,3677.13,Card,Housing Society Maintenance,DEV-755797,IN,Bengaluru,231,4011.43,0,False,,,,,
TXN000047,ACC000484,Rajesh Reddy,"Koramangala, Delhi - 272769",Current,2026-06-05T08:54:21.115088,2207.66,IMPS,IRCTC,DEV-402380,IN,Delhi,218,1805.43,0,False,,,,,
TXN000048,ACC001811,Pooja Desai,"Ballygunge, Hyderabad - 773640",Savings,2026-07-02T10:06:45.390365,53274.59,UPI,Petrol Pump - HP,DEV-309640,IN,Hyderabad,309,60339.35,0,False,,,,,
TXN000049,ACC000229,Kavita Chatterjee,"Kothrud, Hyderabad - 752966",Savings,2026-07-09T15:30:40.557135,870.69,POS,Local Restaurant,DEV-405759,IN,Hyderabad,1521,789.14,0,False,,,,,
TXN000050,ACC001385,Neha Rao,"Kothrud, Kolkata - 364905",Savings,2026-07-25T14:13:56.043861,5822.85,IMPS,Flipkart,DEV-727276,IN,Kolkata,928,20820.21,0,False,,,,,
TXN000051,ACC001137,Kavita Desai,"Kothrud, Pune - 404798",Current,2026-06-30T18:44:04.615792,4965.85,NEFT,Airtel Recharge,DEV-387458,IN,Pune,69,4692.7,0,False,,,,,
TXN000052,ACC001524,Vikram Pillai,"Malviya Nagar, Ahmedabad - 855186",Savings,2026-07-05T03:11:37.962559,15102.03,POS,Amazon India,DEV-356233,IN,Ahmedabad,1666,11114.71,20,False,unusual transaction hour (03:00),,,,
TXN000053,ACC002146,Deepak Singh,"Powai, Chennai - 530468",NRI,2026-06-28T22:00:22.572803,5827.3,UPI,Airtel Recharge,DEV-206795,IN,Chennai,137,7614.82,0,False,,,,,
TXN000054,ACC001055,Ritu Verma,"Alwarpet, Bengaluru - 120821",Salary,2026-05-19T17:00:09.833213,1720.8,NEFT,Reliance Retail,DEV-562355,IN,Bengaluru,1918,2259.4,0,False,,,,,
TXN000055,ACC000294,Pooja Chatterjee,"Kothrud, Ahmedabad - 789089",Savings,2026-05-21T15:22:20.958728,10735.02,IMPS,Myntra,DEV-687360,IN,Ahmedabad,1761,12615.65,0,False,,,,,
TXN000056,ACC000812,Meera Nair,"Ballygunge, Kolkata - 184638",Savings,2026-05-12T10:44:26.208229,35794.37,UPI,DMart,DEV-306283,IN,Kolkata,209,24271.88,0,False,,,,,
TXN000057,ACC000662,Deepak Patel,"Alwarpet, Kolkata - 422763",Savings,2026-06-05T22:51:49.534146,54938.79,Card,Salary Credit - Employer,DEV-491270,IN,Kolkata,1897,40652.23,0,False,,,,,
TXN000058,ACC001569,Karan Desai,"Kothrud, Delhi - 602467",Salary,2026-05-14T09:00:22.072651,5475.02,POS,IRCTC,DEV-620685,IN,Delhi,1824,4443.89,0,False,,,,,
TXN000059,ACC001039,Anil Iyer,"Andheri West, Chennai - 696431",Savings,2026-05-23T22:57:56.374502,1460.71,UPI,Salary Credit - Employer,DEV-860123,IN,Chennai,103,1393.18,0,False,,,,,
TXN000060,ACC000198,Karan Nair,"Indiranagar, Chennai - 547080",Salary,2026-06-30T07:24:01.273201,50538.54,IMPS,Uber,DEV-267914,IN,Chennai,361,48539.6,0,False,,,,,
TXN000061,ACC001065,Rohit Gupta,"Kothrud, Pune - 230034",Savings,2026-05-18T20:20:04.243750,11648.5,UPI,Local Kirana Store,DEV-703386,IN,Pune,289,24353.03,0,False,,,,,
TXN000062,ACC001043,Ritu Desai,"Andheri West, Delhi - 780381",Savings,2026-05-30T13:37:47.633596,21323.19,IMPS,Uber,DEV-136904,IN,Delhi,604,29593.67,0,False,,,,,
TXN000063,ACC000713,Sunita Sharma,"Banjara Hills, Kolkata - 215063",Savings,2026-07-26T03:49:12.847336,128064.38,UPI,BSES Electricity Bill,DEV-877931,IN,Kolkata,886,40991.94,38,False,amount 3.1x above account average; unusual transaction hour (03:00),,,,odd_hour_high_amount
TXN000064,ACC001186,Ritu Bose,"Ballygunge, Delhi - 242365",Current,2026-07-09T14:27:45.675796,54090.39,IMPS,Salary Credit - Employer,DEV-903340,IN,Delhi,1655,53652.15,0,False,,,,,
TXN000065,ACC001085,Ritu Desai,"Jubilee Hills, Chennai - 172956",Savings,2026-05-12T09:06:36.717826,379.88,NEFT,Housing Society Maintenance,DEV-532686,IN,Chennai,297,365.35,0,False,,,,,
TXN000066,ACC000076,Priya Mehta,"Malviya Nagar, Bengaluru - 201883",Salary,2026-05-17T22:12:27.022316,49069.8,UPI,DMart,DEV-362801,IN,Bengaluru,284,56380.16,0,False,,,,,
TXN000067,ACC001302,Neha Bose,"Andheri West, Chennai - 658380",Savings,2026-05-29T12:53:00.199892,36695.26,UPI,Ola,DEV-585685,IN,Chennai,34,28257.21,0,False,,,,,
TXN000068,ACC000252,Meera Nair,"Malviya Nagar, Hyderabad - 395198",Savings,2026-07-27T07:51:10.972140,463.33,Card,BigBasket,DEV-529161,IN,Hyderabad,1040,482.79,0,False,,,,,
TXN000069,ACC001045,Karan Pillai,"Banjara Hills, Hyderabad - 144622",Salary,2026-06-25T20:35:05.341352,1719.72,Card,IRCTC,DEV-552708,IN,Hyderabad,1079,1998.45,0,False,,,,,
TXN000070,ACC000288,Pooja Sharma,"Ballygunge, Bengaluru - 498197",Salary,2026-06-24T16:08:43.794550,54151.22,Card,Local Kirana Store,DEV-559447,IN,Bengaluru,60,67147.21,0,False,,,,,
TXN000071,ACC000120,Neha Iyer,"Kothrud, Ahmedabad - 601776",Savings,2026-07-13T18:27:49.095044,41827.96,UPI,Zomato,DEV-283594,IN,Ahmedabad,789,37005.57,0,False,,,,,
TXN000072,ACC001870,Sunita Joshi,"Alwarpet, Kolkata - 138449",Savings,2026-06-20T09:01:17.801530,50.0,UPI,Housing Society Maintenance,DEV-523326,IN,Kolkata,1053,1533.62,0,False,,,,,
TXN000073,ACC001028,Arjun Mehta,"Jubilee Hills, Kolkata - 672922",Savings,2026-05-04T10:20:54.746596,42160.51,IMPS,BigBasket,DEV-836316,IN,Kolkata,332,49276.94,0,False,,,,,
TXN000074,ACC001542,Vikram Desai,"Kothrud, Mumbai - 867436",Savings,2026-05-23T11:49:05.113314,1301.29,UPI,LIC Premium,DEV-870099,IN,Mumbai,333,1173.83,0,False,,,,,
TXN000075,ACC000362,Ritu Sharma,"Aundh, Bengaluru - 400692",Current,2026-05-13T17:59:57.689936,15409.81,UPI,Petrol Pump - HP,DEV-954987,IN,Bengaluru,1626,15686.13,0,False,,,,,
TXN000076,ACC001240,Sunita Pillai,"Powai, Hyderabad - 725026",Salary,2026-05-21T11:45:44.715481,4333.12,NEFT,School Fee Payment,DEV-376705,IN,Hyderabad,298,6340.08,0,False,,,,,
TXN000077,ACC000455,Sunita Chatterjee,"Salt Lake, Kolkata - 743790",Salary,2026-07-29T02:46:06.074166,1467.84,UPI,Housing Society Maintenance,DEV-666893,IN,Kolkata,65,1298.54,20,False,unusual transaction hour (02:00),,,,
TXN000078,ACC002110,Sanjay Chatterjee,"Malviya Nagar, Hyderabad - 428059",Savings,2026-07-17T14:36:37.558164,10562.25,UPI,Apollo Pharmacy,DEV-478077,IN,Hyderabad,255,10016.31,0,False,,,,,
TXN000079,ACC000295,Priya Singh,"Kothrud, Chennai - 211486",Savings,2026-06-24T14:38:42.411712,99953.54,UPI,Metro Card Recharge,DEV-647341,IN,Chennai,373,66994.33,0,False,,,,,
TXN000080,ACC000739,Ritu Patel,"Gachibowli, Bengaluru - 568394",Savings,2026-07-17T12:16:31.337453,760.72,Card,HDFC Credit Card Payment,DEV-435812,IN,Bengaluru,165,1751.09,0,False,,,,,
TXN000081,ACC001593,Shalini Reddy,"Jubilee Hills, Kolkata - 679648",Salary,2026-07-26T10:22:00.602869,471.38,IMPS,Uber,DEV-122306,IN,Kolkata,1711,444.41,0,False,,,,,
TXN000082,ACC002057,Rajesh Kumar,"Banjara Hills, Ahmedabad - 760223",Current,2026-05-25T07:48:31.307277,71904.2,UPI,Amazon India,DEV-664531,IN,Ahmedabad,553,72325.4,0,False,,,,,
TXN000083,ACC001335,Priya Rao,"Andheri West, Ahmedabad - 133643",Savings,2026-07-22T20:39:51.242077,525.67,UPI,Zomato,DEV-833455,IN,Ahmedabad,253,835.82,0,False,,,,,
TXN000084,ACC000866,Sunita Mehta,"Vasant Kunj, Chennai - 273636",Savings,2026-07-07T20:27:49.286027,7792.27,UPI,Metro Card Recharge,DEV-204298,IN,Chennai,103,5617.33,0,False,,,,,
TXN000085,ACC000342,Kavita Gupta,"Aundh, Chennai - 389939",Savings,2026-06-11T08:08:11.655218,3204.85,Card,Airtel Recharge,DEV-861411,IN,Chennai,237,2892.02,0,False,,,,,
TXN000086,ACC002149,Kavita Joshi,"Vasant Kunj, Kolkata - 208907",Savings,2026-07-25T19:45:37.310211,34606.22,IMPS,Uber,DEV-453125,IN,Kolkata,164,45439.4,0,False,,,,,
TXN000087,ACC001953,Rajesh Kumar,"HSR Layout, Chennai - 539674",Savings,2026-06-28T22:57:26.790051,1555.91,NEFT,IRCTC,DEV-689605,IN,Chennai,1402,1803.17,0,False,,,,,
TXN000088,ACC000177,Anil Sharma,"Malviya Nagar, Ahmedabad - 611552",Savings,2026-07-15T08:41:21.043033,2736.89,UPI,Local Restaurant,DEV-163386,IN,Ahmedabad,352,2118.84,0,False,,,,,
TXN000089,ACC000914,Neha Mehta,"Banjara Hills, Mumbai - 637085",Salary,2026-07-28T14:47:54.516546,10238.82,IMPS,Housing Society Maintenance,DEV-721885,IN,Mumbai,149,12062.94,0,False,,,,,
TXN000090,ACC002022,Rohit Chatterjee,"Gachibowli, Bengaluru - 456234",Savings,2026-05-19T07:16:08.938146,49010.51,IMPS,BSES Electricity Bill,DEV-590418,IN,Bengaluru,804,52995.53,0,False,,,,,
TXN000091,ACC000574,Neha Reddy,"Indiranagar, Mumbai - 210531",Salary,2026-06-11T10:43:31.987727,462.43,IMPS,Zomato,DEV-963617,IN,Mumbai,254,1954.39,0,False,,,,,
TXN000092,ACC001299,Karan Mehta,"Gachibowli, Pune - 570815",Current,2026-05-20T22:17:46.377823,572.73,IMPS,Flipkart,DEV-623852,IN,Pune,2494,894.49,0,False,,,,,
TXN000093,ACC000434,Anjali Reddy,"Gachibowli, Hyderabad - 172988",Current,2026-05-29T09:10:23.929544,7785.28,UPI,DMart,DEV-284731,IN,Hyderabad,69,8017.81,0,False,,,,,
TXN000094,ACC000466,Anil Singh,"Koramangala, Ahmedabad - 106658",Salary,2026-06-07T09:12:13.368223,1064.66,UPI,Metro Card Recharge,DEV-116389,IN,Ahmedabad,50,1623.89,0,False,,,,,
TXN000095,ACC001291,Karan Joshi,"Jubilee Hills, Pune - 546955",Savings,2026-05-12T19:56:19.047164,64857.84,NEFT,HDFC Credit Card Payment,DEV-202108,IN,Pune,118,69981.9,0,False,,,,,
TXN000096,ACC000442,Vikram Rao,"Kothrud, Ahmedabad - 183952",Savings,2026-05-28T19:51:49.560175,3262.55,UPI,Local Kirana Store,DEV-708455,IN,Ahmedabad,325,1960.82,0,False,,,,,
TXN000097,ACC002195,Anil Desai,"Kothrud, Hyderabad - 337571",Current,2026-05-30T11:55:59.827700,13604.18,UPI,BigBasket,DEV-693492,IN,Hyderabad,457,13564.76,0,False,,,,,
TXN000098,ACC001283,Neha Joshi,"HSR Layout, Hyderabad - 668087",Salary,2026-05-11T08:03:24.947531,1194.85,NEFT,Ola,DEV-276076,IN,Hyderabad,1925,1434.1,0,False,,,,,
TXN000099,ACC001789,Karan Reddy,"Aundh, Mumbai - 857786",Current,2026-05-14T08:17:58.411865,7687.22,UPI,Rent Payment - Landlord,DEV-711869,IN,Mumbai,1447,10840.12,0,False,,,,,
TXN000100,ACC001457,Amit Reddy,"Vasant Kunj, Delhi - 290413",Salary,2026-05-17T09:47:05.374194,198.75,UPI,HDFC Credit Card Payment,DEV-485815,IN,Delhi,123,224.38,0,False,,,,,
TXN000101,ACC001389,Meera Kumar,"Jubilee Hills, Kolkata - 197455",Salary,2026-05-21T17:38:20.004848,477.14,UPI,Apollo Pharmacy,DEV-490774,IN,Kolkata,2334,419.06,0,False,,,,,
TXN000102,ACC001705,Rohit Patel,"Powai, Hyderabad - 586204",Salary,2026-05-04T07:58:41.399583,874.81,IMPS,BSES Electricity Bill,DEV-268109,IN,Hyderabad,73,867.32,0,False,,,,,
TXN000103,ACC000441,Rajesh Pillai,"Kothrud, Pune - 626100",Salary,2026-07-16T12:30:34.760577,2116.53,UPI,Ola,DEV-987938,IN,Pune,1940,7522.03,0,False,,,,,
TXN000104,ACC000291,Priya Nair,"Aundh, Pune - 391668",Current,2026-07-27T09:55:40.450748,12115.39,UPI,Airtel Recharge,DEV-436208,IN,Pune,2435,13302.4,0,False,,,,,
TXN000105,ACC002133,Pooja Singh,"Ballygunge, Mumbai - 316578",Savings,2026-07-13T13:03:35.986587,1577.63,IMPS,LIC Premium,DEV-948239,IN,Mumbai,2016,1152.9,0,False,,,,,
TXN000106,ACC000139,Anil Reddy,"Vasant Kunj, Ahmedabad - 662761",Savings,2026-07-03T11:16:37.207137,104586.45,Card,Petrol Pump - HP,DEV-805188,IN,Ahmedabad,1246,53838.72,0,False,,,,,
TXN000107,ACC000400,Rajesh Iyer,"Vasant Kunj, Kolkata - 564523",Salary,2026-06-21T09:23:45.975558,19525.91,Card,Flipkart,DEV-534152,IN,Kolkata,302,13435.3,0,False,,,,,
TXN000108,ACC002071,Shalini Verma,"Banjara Hills, Chennai - 895993",Current,2026-06-25T09:23:06.550351,1045.05,NEFT,HDFC Credit Card Payment,DEV-705676,IN,Chennai,912,818.35,0,False,,,,,
TXN000109,ACC000083,Anjali Sharma,"Malviya Nagar, Pune - 770556",Savings,2026-05-27T22:39:35.819549,3491.03,IMPS,BSES Electricity Bill,DEV-196126,IN,Pune,1869,5586.46,0,False,,,,,
TXN000110,ACC000658,Neha Nair,"Salt Lake, Pune - 544613",Savings,2026-05-10T04:24:32.847932,669.03,NEFT,HDFC Credit Card Payment,DEV-856729,IN,Pune,118,1113.36,20,False,unusual transaction hour (04:00),,,,
TXN000111,ACC001988,Amit Singh,"Andheri West, Chennai - 192045",Savings,2026-07-16T10:34:44.576258,55811.69,IMPS,Uber,DEV-799157,IN,Chennai,1252,49187.7,0,False,,,,,
TXN000112,ACC000328,Pooja Reddy,"Banjara Hills, Bengaluru - 265001",Current,2026-05-13T09:12:30.408095,3558.98,Card,Netflix India,DEV-321791,IN,Bengaluru,33,4989.88,0,False,,,,,
TXN000113,ACC002010,Divya Desai,"Banjara Hills, Hyderabad - 678143",Salary,2026-07-07T19:35:36.416215,1533.03,UPI,Reliance Retail,DEV-956807,IN,Hyderabad,484,4169.31,0,False,,,,,
TXN000114,ACC002075,Rohit Rao,"Ballygunge, Kolkata - 153991",Current,2026-07-16T09:48:07.891470,31434.97,POS,Zomato,DEV-123329,IN,Kolkata,1422,44742.45,0,False,,,,,
TXN000115,ACC001852,Vikram Iyer,"Vasant Kunj, Ahmedabad - 127085",Savings,2026-06-29T07:02:52.092131,65653.74,UPI,Petrol Pump - HP,DEV-610502,IN,Ahmedabad,275,51559.43,0,False,,,,,
TXN000116,ACC000512,Sunita Desai,"Malviya Nagar, Mumbai - 615530",Savings,2026-07-07T08:48:34.574832,10622.24,UPI,LIC Premium,DEV-288006,IN,Mumbai,249,12431.67,0,False,,,,,
TXN000117,ACC000984,Pooja Nair,"Koramangala, Bengaluru - 115664",Savings,2026-05-03T22:30:50.323582,43784.47,UPI,Flipkart,DEV-277985,IN,Bengaluru,956,53902.99,0,False,,,,,
TXN000118,ACC001501,Vikram Kumar,"Banjara Hills, Kolkata - 803330",Salary,2026-05-14T10:35:31.309830,359.57,NEFT,Salary Credit - Employer,DEV-969074,IN,Kolkata,1277,286.5,0,False,,,,,
TXN000119,ACC000067,Ritu Verma,"Alwarpet, Bengaluru - 664742",Savings,2026-07-19T14:19:52.656337,86861.61,UPI,Airtel Recharge,DEV-613425,IN,Bengaluru,289,53150.95,0,False,,,,,
TXN000120,ACC000424,Manoj Iyer,"Banjara Hills, Chennai - 203024",Savings,2026-05-09T13:59:14.916182,67994.51,IMPS,Netflix India,DEV-425434,IN,Chennai,42,62608.67,0,False,,,,,
TXN000121,ACC001558,Kavita Nair,"Banjara Hills, Chennai - 201071",Savings,2026-05-12T07:43:24.188245,41842.61,NEFT,Local Restaurant,DEV-558304,IN,Chennai,1608,53823.7,0,False,,,,,
TXN000122,ACC001961,Arjun Verma,"Aundh, Mumbai - 662361",Savings,2026-06-02T21:21:04.599687,62660.09,UPI,BigBasket,DEV-436433,IN,Mumbai,296,71536.03,0,False,,,,,
TXN000123,ACC000892,Arjun Reddy,"Kothrud, Hyderabad - 296790",Savings,2026-07-06T22:05:29.035177,289.06,UPI,Swiggy,DEV-105874,IN,Hyderabad,1037,217.68,0,False,,,,,
TXN000124,ACC001507,Karan Verma,"Malviya Nagar, Delhi - 548555",Salary,2026-06-06T05:11:31.673053,21392.13,POS,Petrol Pump - HP,DEV-825885,IN,Delhi,147,43663.26,0,False,,,,,
TXN000125,ACC000661,Arjun Sharma,"Salt Lake, Ahmedabad - 262240",Savings,2026-07-29T16:52:20.532664,780.14,NEFT,Local Restaurant,DEV-849588,IN,Ahmedabad,2222,875.26,0,False,,,,,
TXN000126,ACC000807,Rohit Gupta,"Salt Lake, Chennai - 880523",Salary,2026-07-24T08:02:45.102221,57638.48,UPI,BSES Electricity Bill,DEV-551643,IN,Chennai,240,52542.97,0,False,,,,,
